Variety,Country,Class,AALow.pct,AAHigh.pct,BALow.pct,BAHigh.pct,TOLow.mL100g,TOHigh.mL100g,CohumuloneLow.pct,CohumuloneHigh.pct,BPineneLow.pct,BPineneHigh.pct,MyrceneLow.pct,MyrceneHigh.pct,LinaloolLow.pct,LinaloolHigh.pct,CaryophylleneLow.pct,CaryophylleneHigh.pct,FarnseneLow.pct,FarnseneHigh.pct,HumuleneLow.pct,HumuleneHigh.pct,GerianolLow.pct,GerianolHigh.pct
Rakau,NZ,D,10,11,5,6,2.2,2.2,23,25,NA,NA,56,56,NA,NA,5.2,5.2,4.5,4.5,16.3,16.3,0,0
Riwaka,NZ,A,4.5,6.5,4,5,1.4,1.6,31,33,NA,NA,67,69,NA,NA,3.9,4.1,0.5,0.5,8.9,9.1,0,0
Saaz (CZ),CZ,A,2.5,4.5,4,6,0.4,0.8,23,26,0.4,0.8,26,40,0.4,0.6,6,9,14,20,15,30,0,2
Santiam,US,A,6,8.5,7,8,1,2.2,22,24,0.2,0.4,15,25,0.8,1.2,6,9,14,18,20,30,0,0.3
Saphir,DE,A,2,4,4,7,0.8,1.4,12,17,NA,NA,25,40,NA,NA,9,14,0.5,0.5,20,30,0,0
Savinjski Golding,SI,A,4.5,6,2.5,3.5,0.5,1,25,30,NA,NA,27,33,NA,NA,9,11,2,5,34,38,0,0
Select,DE,A,3,6.5,2.4,5,0.6,0.9,21,27,NA,NA,20,40,1,1.5,4,10,15,22,10,22,0,0
Simcoe,US,D,11.5,15,3,4.5,0.8,3.2,17,21,0.5,1,40,50,0.5,0.9,8,14,0.5,0.5,15,20,0.8,0.8
Smaragd,DE,D,4,6,3.5,5.5,0.4,0.8,13,18,NA,NA,20,40,NA,NA,9,14,0.5,0.5,30,50,0,0
Sorachi Ace,US,D,11.5,14.5,6,7.5,1.5,3,25,28,0.5,0.8,45,55,0.3,0.5,7,11,2,5,20,26,0.1,0.5
Southern Cross,NZ,D,11,14,5,6,1.2,1.2,25,28,NA,NA,31,32,NA,NA,6.7,6.7,7.3,7.3,20.8,20.8,0,0
Sovereign,UK,D,4.5,6.5,2.1,3.1,0.6,1,26,30,NA,NA,NA,NA,NA,NA,7.9,8.1,3.5,3.7,NA,NA,0,0
Spalt,DE,A,2.5,5.5,3,5,0.5,0.9,22,29,NA,NA,20,35,0.5,0.8,8,13,12,18,20,30,0,0
Sterling,US,A,5.5,8.5,4.5,6,1,2,22,27,0.3,0.6,35,45,0.6,0.9,5,8,15,19,16,18,0.2,0.2
Strisselspalt,FR,A,1.8,2.5,4,4.7,0.6,0.8,20,23,NA,NA,35,52,NA,NA,8,10,0.5,0.5,13,21,0,0
Summer,AU,A,5.6,6.4,4.8,6.1,1.4,2,20,25,NA,NA,29,38,0.2,0.6,8,11,0.5,0.5,28,50,0,0
Summit,US,B,15,17,5,6.5,1.5,3,29,32,0.3,0.6,30,40,0.2,0.4,12,16,0.5,0.5,18,22,0.1,0.6
Super Pride,AU,B,12.5,16.3,6,8,3.4,4,26,29,0,0,34,42,NA,NA,5,9,0.5,0.5,1,2,0,0
Sussex,UK,A,4.3,5.8,2.4,3.2,0.4,0.6,32,43,NA,NA,42,42,NA,NA,NA,NA,0.5,0.5,23,23,0,0
Sylva,AU,A,5.6,7.3,3,4.6,1,1.4,20,25,NA,NA,26,36,NA,NA,5,8,25,25,18,27,0,0
Tahoma,US,A,6,7.5,7,8,1.5,2,15,17,0.8,1.2,55,65,0.4,0.8,3,5,0.5,0.5,8,12,0.1,0.1
Target,UK,D,9.5,12.5,4.3,5.7,1.2,1.4,35,40,NA,NA,45,55,NA,NA,8,10,0.5,0.5,17,22,0,0
Tettnang (US),US,A,4,6,2.5,4,0.1,1,25,28,0.3,0.5,30,40,0.6,0.8,10,14,5,8,25,30,0.2,0.4
Tettnang (DE),DE,A,3,6,3,5,0.5,0.9,22,29,NA,NA,20,35,0.4,0.9,6,11,16,24,20,30,0,0
Tomahawk,US,B,15,17.5,4.5,6,2.5,4.5,28,30,0.6,1,45,55,0.4,0.6,6,10,0.5,0.5,9,14,0.2,0.2
Tradition,DE,A,4,7,3,6,0.5,1,24,30,NA,NA,17,32,NA,NA,10,15,0.5,0.5,35,50,0,0
Triplepearl,US,A,10.3,11.2,3.3,4.2,1.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,7,11,0,0
Triskel,FR,A,8,9,4,4.7,1.5,2,20,23,NA,NA,59,61,NA,NA,6,6.2,0.5,0.5,13.4,13.6,0,0
Ultra,US,A,9.2,9.7,3.8,4,1,1.5,23,38,0.6,1,50,60,1,1.5,6,9,0.5,0.5,10,15,0.1,0.5
Vanguard,US,A,4.5,6.5,5.5,7,0.5,1,18,20,0.1,0.6,5,15,0.2,0.4,13,17,0.5,0.5,49,55,0.1,0.2
Wai-iti,NZ,A,2.5,3.5,4.5,5.5,1.6,1.6,22,24,NA,NA,3,3,NA,NA,8.9,9.1,12.9,13.1,27.9,28.1,0,0
Waimea,NZ,D,16,19,7,9,2,2.2,22,24,NA,NA,59,61,NA,NA,2.5,2.7,4.9,5.1,9.4,9.6,0,0
Wakatu,NZ,D,6.5,8.5,8.4,8.6,0.9,1.1,28,30,NA,NA,35,36,NA,NA,8.1,8.3,6.6,6.8,16.7,16.9,0,0
Warrior,US,B,15.5,18,4.4,6,1,2.5,25,28,0.5,0.7,40,50,0.4,0.7,11,14,0.5,0.5,15,18,0.4,0.8
Whitbread Golding,UK,A,5.4,7.7,2,3.3,0.8,1.2,32,43,NA,NA,19,27,NA,NA,11,15,1,2,35,42,0,0
Willamette,US,A,4.5,6.5,3,4.5,0.6,1.6,28,32,0.3,0.5,22,32,0.4,0.7,12,14,7,10,31,35,0.1,0.3
Zeus,US,B,14.5,17.5,4.5,5.5,2.5,4.5,26,31,0.6,1,45,55,0.4,0.6,6,10,0.5,0.5,9,14,0.2,0.5
Zythos,US,A,10,12.5,4.7,6.2,0.7,1.2,28,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
